"","PROBEID","SYMBOL","ENTREZID"
"604","210155_at","MYOC","4653"
"605","206876_at","SIM1","6492"
"606","222919_at","TRDN","10345"
"607","224578_at","RCC2","55920"
"609","203282_at","GBE1","2632"
"612","204058_at","ME1","4199"
"614","232662_x_at","PRXL2A","84293"
"615","203548_s_at","LPL","4023"
"616","208350_at","CSN1S1","1446"
"617","221590_s_at","ALDH6A1","4329"
"619","232812_at","EMC3","55831"
"620","218665_at","FZD4","8322"
"621","219976_at","HOOK1","51361"
"622","201890_at","RRM2","6241"
"623","226064_s_at","DGAT2","84649"
"625","232068_s_at","TLR4","7099"
"626","210751_s_at","RGN","9104"
"627","214454_at","ADAMTS2","9509"
"629","203317_at","PSD4","23550"
"633","203395_s_at","HES1","3280"
"634","229991_s_at","SYTL4","94121"
"637","227894_at","WDR90","197335"
"638","212285_s_at","AGRN","375790"
"639","201613_s_at","AP1G2","8906"
"640","222407_s_at","ZNF106","64397"
"641","225940_at","EIF4E3","317649"
"642","201291_s_at","TOP2A","7153"
"643","218730_s_at","OGN","4969"
"646","239185_at","ABCA9","10350"
"647","202193_at","LIMK2","3985"
"648","206737_at","WNT11","7481"
"649","226338_at","PIP4P2","55529"
"650","208079_s_at","AURKA","6790"
"651","202022_at","ALDOC","230"
"653","214004_s_at","VGLL4","9686"
"654","201548_s_at","KDM5B","10765"
"656","226549_at","SBK1","388228"
"658","1554127_s_at","MSRB3","253827"
"659","208190_s_at","LSR","51599"
"660","1558662_s_at","BANK1","55024"
"661","218585_s_at","DTL","51514"
"662","202871_at","TRAF4","9618"
"665","204039_at","CEBPA","1050"
"666","208607_s_at","SAA2","6289"
"667","208607_s_at","SAA1","6288"
"668","208607_s_at","SAA2-SAA4","100528017"
"669","210078_s_at","KCNAB1","7881"
"670","230744_at","FSTL1","11167"
"671","204239_s_at","NNAT","4826"
"673","33322_i_at","SFN","2810"
"674","204796_at","EML1","2009"
"676","243864_at","CCDC80","151887"
"677","213710_s_at","CALM1","801"
"680","230433_at","CNN3-DT","729970"
"681","205577_at","PYGM","5837"
"682","227558_at","CBX4","8535"
"683","203065_s_at","CAV1","857"
"684","228664_at","TRIM52-AS1","100507602"
"686","205560_at","PCSK5","5125"
