"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"202178_at",2.68367106030373,6.29248826758678,14.3040865658094,1.05868272949494e-27,3.40491048441975e-25,52.4534678041663
"208510_s_at",-4.7380466743224,4.40509549847934,-14.252398479795,1.39355605763315e-27,4.45571213164284e-25,52.1816949290283
"1559942_at",-3.35694009093665,3.41104686989256,-14.2513015556035,1.40171178625962e-27,4.4557320880084e-25,52.1759244164538
"210089_s_at",-2.72662132778507,5.08031003256198,-14.2271101559484,1.59427261144089e-27,5.02065964351064e-25,52.0486313589201
"221142_s_at",-2.60836784811368,3.26369081157851,-14.2266954113696,1.59779566158363e-27,5.02065964351064e-25,52.0464484914863
"209209_s_at",-3.53141061798133,4.15187295376859,-14.214156679763,1.70807567849884e-27,5.33651644125282e-25,51.9804469141495
"227281_at",-2.80655242599774,3.01047621941322,-14.2056551727147,1.78716208652954e-27,5.55187994778424e-25,51.9356875066277
"238752_at",-3.73229748099491,3.04562203960331,-14.204395276929,1.79919106432885e-27,5.55767070294801e-25,51.9290536868806
"214434_at",-3.43546484773981,4.33171054770248,-14.1812100766626,2.03564547290475e-27,6.25274810286894e-25,51.806946435743
"205608_s_at",-3.41132680292647,3.84090375466942,-14.1660023367113,2.20743782124096e-27,6.74255099867873e-25,51.7268239533169
"220266_s_at",-2.7946665496431,3.18877454231405,-14.156265092494,2.3249993711102e-27,7.06218558974722e-25,51.6755107815039
"227333_at",-1.84833924301923,4.7702800418595,-14.1543949600394,2.34828738442631e-27,7.09351451621595e-25,51.665654501098
"213181_s_at",-2.74561084035973,2.98832843391736,-14.1493648616388,2.4120932981981e-27,7.24621983950446e-25,51.6391423111852
"228411_at",-2.11997376352602,3.39662685238017,-14.1348459936867,2.60618989200903e-27,7.78652635768272e-25,51.5626033898947
"235737_at",-2.52710104066742,2.78821863668595,-14.092085475096,3.27378986876725e-27,9.72795984102442e-25,51.3370614081474
"237413_at",-1.97211808684389,2.62985800299174,-14.0892953491816,3.3228914711166e-27,9.82049141531353e-25,51.3223384775024
"226304_at",-1.61005615701753,2.84846394333058,-14.0775134870523,3.53851486666914e-27,1.04015215233944e-24,51.2601594819088
"236461_at",-0.862716037649319,2.44305198546281,-14.0699097278421,3.68507298181411e-27,1.07744045604645e-24,51.2200232219749
"200606_at",4.97780060908767,9.77596073287603,14.0622310461562,3.83925793122123e-27,1.11655014568894e-24,51.1794856990641
"222278_at",-2.9527787043569,3.14326748509917,-14.0558157812586,3.97302639494343e-27,1.14933977853721e-24,51.1456135905128
"205083_at",-3.47925262920984,3.26894030452893,-14.0510847362336,4.07466354569932e-27,1.172538049269e-24,51.1206314400403
"210715_s_at",4.19893205759107,10.3918528632231,14.0414403520584,4.29000661359716e-27,1.2280424691017e-24,51.0696977280239
"230573_at",-2.53850396343665,2.78734881144628,-14.0375560509771,4.3799293811754e-27,1.24725332768628e-24,51.0491814624017
"228568_at",-4.10794254775566,5.38896545252893,-14.0307251863647,4.54267811345984e-27,1.28689598887781e-24,51.0130983248321
"232204_at",-3.954220187875,4.61020752576859,-14.0187923350691,4.84167954291738e-27,1.36453004643819e-24,50.9500536566857
"219514_at",-2.02494799969966,2.77966552158678,-14.0153095239021,4.93261523709011e-27,1.3830294260918e-24,50.9316503436187
"200672_x_at",-2.10755677021041,4.89072389203306,-14.005624665546,5.19459575236378e-27,1.44905368755352e-24,50.8804689401756
"232317_at",-3.66519000481674,4.90520178091736,-13.9934698329612,5.54323843580692e-27,1.53845970293271e-24,50.8162215669059
"239262_at",-4.98643307185747,4.4380351142314,-13.9839888615695,5.8314087433223e-27,1.61026400525832e-24,50.7660975680305
"205384_at",-3.71250328091233,3.10209405407438,-13.9808943326606,5.92868243079552e-27,1.62889804976756e-24,50.7497355223022
"209663_s_at",-2.89384808175396,3.25886745538843,-13.9791951519026,5.9827853195076e-27,1.63554393672039e-24,50.7407508601641
"210299_s_at",-6.05862818879355,5.01132911884298,-13.9702408067274,6.2761884366219e-27,1.70721692921543e-24,50.6933988484136
"1564796_at",-2.40213426940781,3.14450864497521,-13.957018578369,6.73604328911754e-27,1.8232334991708e-24,50.6234633868144
"243584_at",-4.71818233422455,4.22014472128926,-13.8803793092613,1.01517822551074e-26,2.72221182626909e-24,50.2177688731845
"210374_x_at",-2.81412937912274,4.51932776489256,-13.8802842941913,1.01569494752427e-26,2.72221182626909e-24,50.2172655563397
"236154_at",-2.51448506245362,3.07397552897521,-13.8611809363104,1.12513265762794e-26,3.00081112467355e-24,50.1160531970247
"207277_at",-2.77004913652658,3.79322848255372,-13.8299376159721,1.33020117949211e-26,3.52979243630111e-24,49.95044697797
"219054_at",-4.22838297895248,4.73577032046281,-13.8290727485464,1.33638232156256e-26,3.52979243630111e-24,49.9458614083182
"206243_at",-6.32146909166515,4.62424674352893,-13.7942656143851,1.61059333938747e-26,4.23361494379856e-24,49.7612538579268
"235706_at",-4.03853768348529,4.62564433010744,-13.7924223317221,1.62659596978341e-26,4.25522175348842e-24,49.7514744189822
"53991_at",-1.79917998558258,3.50185501205785,-13.7878690464262,1.66681277562335e-26,4.3396661193908e-24,49.7273158410383
"210678_s_at",-2.75856457888518,6.26320390295041,-13.7830926100508,1.71007311860213e-26,4.431196576283e-24,49.7019711962012
"236644_at",-1.85004866482579,2.62202734369421,-13.7565736427738,1.97157594121469e-26,5.08471295216572e-24,49.5612179928357
"244885_at",-3.16003173581618,3.13867775902479,-13.7538804398865,2.00028193292751e-26,5.13452651093012e-24,49.5469197727354
"227561_at",-3.63263350324887,7.52885894901653,-13.7356507368844,2.20592709571119e-26,5.63593756813128e-24,49.450120546174
"201866_s_at",-2.445842657444,4.35357573772727,-13.6846529053115,2.9010471899911e-26,7.36672039539304e-24,49.1791605017644
"243403_x_at",-3.23547722409955,3.60773753132231,-13.6837367119937,2.91536507752056e-26,7.36672039539304e-24,49.1742904283626
"227419_x_at",-4.48200023154751,6.42911047179339,-13.6832001620422,2.92378294613679e-26,7.36672039539304e-24,49.1714383334255
"1552509_a_at",-4.56028754871324,3.49609450930578,-13.6578524245469,3.35053047389505e-26,8.40322264496385e-24,49.0366694644686
"1552724_at",-2.39618389285407,2.88191963891736,-13.6467730852795,3.55617869739979e-26,8.87826804933029e-24,48.977744444195
"243813_at",-3.0385816335707,2.807840071,-13.6452122092114,3.58615096847791e-26,8.91240019097862e-24,48.969442091504
"217546_at",-3.16209941626301,3.0754722493719,-13.6415497766143,3.65747639832408e-26,9.04853041078593e-24,48.94996062061
